run_path,query,variant,n_facts,n_supported_pred,n_underspecified_pred,n_contradicted_pred,avg_p_yes,avg_sim_max,avg_uncertainty,t_total
outputs/runs/run_20260110-210321.json,What are the store working hours?,,12,0,0,0,0.03513083249951402,0.6810337255398432,,
outputs/runs/run_20260110-233652.json,What are the store working hours?,,2,0,2,0,0.5129213482141495,0.8604687452316284,0.9663697779178619,
outputs/runs/run_20260110-234952.json,What are the store working hours?,,2,0,2,0,0.5129213294067363,0.8604687452316284,0.966369794152053,
outputs/runs/run_20260111-000245.json,What is the working day?,,2,0,0,2,0.16563720515324093,0.6202927827835083,0.3312744103064818,
outputs/runs/run_20260111-001822.json,what is the working day?,,2,2,0,0,0.8344326465634988,0.6202927827835083,0.3311347068730025,
outputs/runs/run_20260111-011000.json,what is the program session?,,1,0,1,0,0.0,0.3481629490852356,1.0,
outputs/runs/run_20260111-011056.json,what is the program term?,,1,0,1,0,0.0,0.3287641704082489,1.0,
outputs/runs/run_20260111-171553.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,5,1,0.17721584543516522,0.48156483719746274,0.5210983575369971,367.98963316699883
outputs/runs/run_20260111-172158.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,4,2,0.1790324698302538,0.41958413769801456,0.5247316063271743,365.51694329100064
outputs/runs/run_20260111-172839.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,4,2,0.17821731452815556,0.46513001217196387,0.5231012957229778,400.94184066699745
outputs/runs/run_20260111-173558.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,6,0,0.23113710652583422,0.44149718433618546,0.46227421305166855,438.67589008399955
outputs/runs/run_20260111-174111.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,4,2,0.09258119630403834,0.49727447020510834,0.5184957259414099,312.41996033300165
outputs/runs/run_20260111-181238.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,4,2,0.19222565624410937,0.48605836431185406,0.5408571431515111,341.08768283300014
outputs/runs/run_20260111-181752.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,1,3,2,0.22312204909963032,0.4707925086840987,0.4285014287609557,312.45607120899876
outputs/runs/run_20260111-182329.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,0,5,1,0.20996207407589315,0.4063167356265088,0.586590814818453,337.60222408400296
outputs/runs/run_20260111-183007.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,1,3,2,0.2704895825996139,0.42135605961084366,0.3565698290942563,397.6852253340003
outputs/runs/run_20260111-183529.json,"[EXPERIMENT] Mixed claims test (domain=all, k=1)",full,6,1,4,1,0.22901854107656427,0.44828105128059786,0.44029441271482367,321.8085094579983
